1.000000	0.156104	0.048369
1.025000	0.175345	0.057876
1.050000	0.196813	0.000978
1.075000	0.221598	0.006177
1.100000	0.242729	0.002955
1.125000	0.275117	0.002403
1.150000	0.310608	0.003549
1.175000	0.331493	0.005223
1.200000	0.365082	0.005824
1.225000	0.413196	0.003750
1.250000	0.463797	0.004945
1.275000	0.510560	0.005026
1.300000	0.549345	0.010948
1.325000	0.619680	0.008256
1.350000	0.699112	0.004772
1.375000	0.783167	0.010475
1.400000	0.891265	0.034695
1.425000	1.014900	0.013817
1.450000	1.133027	0.024425
1.475000	1.382417	0.073826
1.500000	1.486334	0.051755
1.525000	1.716255	0.043274
1.550000	1.653965	0.035848
1.575000	1.547229	0.034828
1.600000	1.418256	0.029054
1.625000	1.229278	0.014127
1.650000	1.090703	0.016103
1.675000	0.956303	0.012885
1.700000	0.898246	0.020835
1.725000	0.786874	0.008168
1.750000	0.727759	0.005598
1.775000	0.678290	0.008284
1.800000	0.644363	0.008774
1.825000	0.600955	0.004029
1.850000	0.579953	0.005520
1.875000	0.540076	0.003406
1.900000	0.518087	0.002791
1.925000	0.495842	0.004725
1.950000	0.479033	0.004218
1.975000	0.466376	0.003194
2.000000	0.437014	0.002661
